N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,1.005859375
34,0.0
35,0.0
36,0.0
38,1.005859375
39,0.0
40,0.0
42,0.0
44,1.005859375
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
60,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
88,0.0
90,0.0
91,0.0
92,0.0
95,0.0
96,0.0
98,0.0
99,0.0
100,0.0
102,0.0
104,0.999755859375
105,0.0
108,0.998291015625
110,0.999755859375
112,0.0
114,0.0
115,0.0
117,0.0
119,0.0
120,0.0
121,0.0
125,0.0
126,0.0
128,0.0
130,0.0
132,0.0
133,0.0
135,0.0
136,0.0
138,0.0
140,0.0
143,0.0
144,0.0
147,0.0
150,0.0
152,0.0
153,0.0
154,0.0
156,0.0
160,0.0
161,0.0
162,0.0
165,1.000244140625
168,0.0
169,0.0
170,0.0
171,0.0
175,0.0
176,0.0
180,0.0
182,0.0
184,0.0
187,0.0
189,0.0
190,0.0
192,1.000244140625
195,0.99462890625
196,1.000244140625
198,1.000244140625
200,0.99462890625
204,1.00537109375
207,0.0
208,0.0
209,1.00537109375
210,0.99462890625
216,0.0
220,0.0
221,0.0
224,0.0
225,0.99462890625
228,0.0
230,1.000244140625
231,0.0
234,1.000244140625
238,0.0
240,1.000244140625
242,0.0
247,0.999267578125
250,0.0
252,1.000244140625
253,0.0
255,0.0
256,0.0
260,0.0
264,0.0
266,0.0
270,0.0
272,0.0
273,0.0
275,0.0
276,0.0
280,0.0
285,0.0
286,0.0
288,0.0
289,0.0
294,0.0
299,0.0
300,0.0
304,0.99951171875
306,1.000244140625
308,0.0
312,0.0
315,0.0
320,0.0
322,0.99951171875
323,0.0
324,0.0
325,0.0
330,1.000244140625
336,0.0
340,0.0
342,1.0
345,0.0
350,0.0
352,0.0
357,0.0
360,1.000244140625
361,0.0
368,0.0
374,0.0
375,1.0
378,0.0
380,0.0
384,0.0
391,0.0
396,0.999755859375
399,0.0
400,0.0
408,0.0
414,0.0
418,0.0
420,0.0
425,0.0
432,0.0
437,0.0
440,0.990478515625
441,0.0
450,0.0
456,0.990478515625
460,0.0
462,1.005126953125
475,0.0
480,1.00634765625
483,0.994873046875
484,0.999755859375
500,0.994873046875
504,0.0
506,0.0
525,0.999755859375
528,0.0
529,0.9990234375
550,0.999755859375
552,0.988037109375
575,0.99951171875
576,0.0
600,0.0
625,0.0
